id,latitude,longitude,count
77850,37.5,-122.9,1
54471,37.5,-122.9,1
37778,37.5,-122.9,1
21097,37.5,-122.9,1
21093,37.5,-122.9,1
18332,37.5,-122.9,1
115442,36.8,-122,1
110173,36.8,-122,1
93536,36.8,-122,1
62029,36.8,-122,1
33846,36.8,-122,1
6526,36.8,-122,1
1513,36.8,-122,1
133663,36.8,-122,1
33362,36.8,-122,1
27015,57.55,-133.8,1
107916,33.6341,-118.2898,1
130771,36.8,-122,1
56076,36.8,-122,1
43325,36.8,-122,1
83845,37.675669,-122.954693,1
56585,37.675669,-122.954693,1
3161,33.6583,-118.3171,1
38427,36.8,-122,1
141319,36.8,-122,1
138227,36.8,-122,1
77494,36.8,-122,1
66865,36.8,-122,1
39521,36.8,-122,1
95411,36.8032,-122.2105,1
133665,36.8,-122,1
49297,36.8,-122,1
71344,33.6529,-118.2849,1
37253,33.55,-117.9,1
11682,59.73,-149.68,1
58161,36.798707,-121.813368,1
20544,36.798707,-121.813368,1
52070,33.835,-118.41,1
644,33.835,-118.41,1
45340,22.75,-109.9,1
99119,58.37,-134.67,1
144744,36.8,-122,1
110604,36.8,-122,1
99643,36.8,-122,1
78577,36.8,-122,1
75518,36.647745,-121.994247,1
128928,37.4,-122.75,1
27223,37.4,-122.75,1
144618,44.777847,-124.071578,1
99102,57.3,-133.6,1
120270,58.4,-134.9,1
111500,58.4,-134.9,1
94621,58.4,-134.9,1
132583,48.273016,-123.906197,1
124865,48.273016,-123.906197,1
121173,48.273016,-123.906197,1
120265,48.273016,-123.906197,1
114202,48.273016,-123.906197,1
105156,48.273016,-123.906197,1
101866,48.273016,-123.906197,1
96874,48.273016,-123.906197,1
96871,48.273016,-123.906197,1
92194,48.273016,-123.906197,1
92190,48.273016,-123.906197,1
89882,48.273016,-123.906197,1
86340,48.273016,-123.906197,1
82241,48.273016,-123.906197,1
82239,48.273016,-123.906197,1
67729,48.273016,-123.906197,1
56278,48.273016,-123.906197,1
56277,48.273016,-123.906197,1
54488,48.273016,-123.906197,1
48094,48.273016,-123.906197,1
37641,48.273016,-123.906197,1
19993,48.273016,-123.906197,1
18204,48.273016,-123.906197,1
12628,48.273016,-123.906197,1
130992,58.29773,-135.793392,1
121861,58.29773,-135.793392,1
82956,58.29773,-135.793392,1
75335,58.29773,-135.793392,1
51711,58.29773,-135.793392,1
51151,58.29773,-135.793392,1
51150,58.29773,-135.793392,1
21581,58.29773,-135.793392,1
7997,36.814709,-122.036911,1
107306,58.291667,-135.079167,1
128896,36.620765,-122.002667,1
123369,57.106352,-135.542628,1
72108,22.856562,-109.893494,1
63968,22.856562,-109.893494,1
61185,22.856562,-109.893494,1
45236,22.856562,-109.893494,1
35176,22.856562,-109.893494,1
139881,22.760986,-109.890747,1
48762,22.760986,-109.890747,1
21497,22.760986,-109.890747,1
1586,22.760986,-109.890747,1
102721,22.806567,-109.901733,1
97756,22.806567,-109.901733,1
63979,22.806567,-109.901733,1
56152,22.806567,-109.901733,1
48764,22.806567,-109.901733,1
41882,22.806567,-109.901733,1
28907,22.806567,-109.901733,1
26745,22.806567,-109.901733,1
136520,22.823023,-109.901733,1
93232,22.823023,-109.901733,1
87556,22.823023,-109.901733,1
85740,22.823023,-109.901733,1
136261,22.758849,-110.037003,1
43420,22.758849,-110.037003,1
139883,22.824289,-109.89212,1
112033,22.824289,-109.89212,1
106852,22.824289,-109.89212,1
63712,22.824289,-109.89212,1
29066,22.824289,-109.89212,1
29335,22.824289,-109.89212,1
8477,22.824289,-109.89212,1
